"Colony" "Distance" "Mass" "Headwidth" "Headwidth..mm." "Size.class"
4 4 72 35 1.474 "35-39"
4 4 131 43 1.811 "40-43"
4 4 70 40 1.684 "40-43"
4 4 126 45 1.895 ">43"
4 4 77 41 1.726 "40-43"
4 4 78 43 1.811 "40-43"
4 4 103 41 1.726 "40-43"
4 4 82 40 1.684 "40-43"
4 4 103 41 1.726 "40-43"
4 4 90 42 1.768 "40-43"
4 4 105 42 1.768 "40-43"
4 4 96 41 1.726 "40-43"
4 4 80 39 1.642 "35-39"
4 4 112 45 1.895 ">43"
4 4 64 37 1.558 "35-39"
4 4 101 43 1.811 "40-43"
4 4 112 44 1.853 ">43"
4 4 121 43 1.811 "40-43"
4 4 125 45 1.895 ">43"
4 4 101 41 1.726 "40-43"
4 4 100 42 1.768 "40-43"
4 4 140 45 1.895 ">43"
4 4 58 34 1.432 "30-34"
4 4 84 42 1.768 "40-43"
4 7 139 44 1.853 ">43"
4 7 114 44 1.853 ">43"
4 7 121 46 1.937 ">43"
4 7 58 41 1.726 "40-43"
4 7 103 41 1.726 "40-43"
4 7 108 43 1.811 "40-43"
4 7 106 40 1.684 "40-43"
4 7 59 31 1.305 "30-34"
4 7 104 42 1.768 "40-43"
4 7 116 43 1.811 "40-43"
4 7 85 41 1.726 "40-43"
4 7 68 40 1.684 "40-43"
4 7 58 34 1.432 "30-34"
4 7 79 40 1.684 "40-43"
4 7 100 44 1.853 ">43"
4 7 77 37 1.558 "35-39"
4 7 110 42 1.768 "40-43"
4 7 104 43 1.811 "40-43"
4 7 125 45 1.895 ">43"
4 7 123 41 1.726 "40-43"
4 7 82 40 1.684 "40-43"
4 7 102 40 1.684 "40-43"
4 7 111 42 1.768 "40-43"
4 7 92 40 1.684 "40-43"
4 10 113 43 1.811 "40-43"
4 10 117 42 1.768 "40-43"
4 10 98 42 1.768 "40-43"
4 10 115 45 1.895 ">43"
4 10 145 46 1.937 ">43"
4 10 97 42 1.768 "40-43"
4 10 97 43 1.811 "40-43"
4 10 95 42 1.768 "40-43"
4 10 83 43 1.811 "40-43"
4 10 65 37 1.558 "35-39"
4 10 107 43 1.811 "40-43"
4 10 112 43 1.811 "40-43"
4 10 113 44 1.853 ">43"
4 10 97 43 1.811 "40-43"
4 10 94 43 1.811 "40-43"
4 10 81 42 1.768 "40-43"
4 10 102 45 1.895 ">43"
4 10 79 41 1.726 "40-43"
4 10 132 47 1.979 ">43"
4 10 98 42 1.768 "40-43"
4 10 107 42 1.768 "40-43"
4 10 81 40 1.684 "40-43"
4 10 121 46 1.937 ">43"
4 10 95 41 1.726 "40-43"
4 10 79 40 1.684 "40-43"
6 1 77 37 1.558 "35-39"
6 1 64 36 1.516 "35-39"
6 1 87 40 1.684 "40-43"
6 1 116 45 1.895 ">43"
6 1 77 38 1.6 "35-39"
6 1 75 35 1.474 "35-39"
6 1 88 40 1.684 "40-43"
6 1 33 27 1.137 "<30"
6 1 111 44 1.853 ">43"
6 1 111 44 1.853 ">43"
6 1 38 33 1.389 "30-34"
6 1 101 42 1.768 "40-43"
6 1 95 41 1.726 "40-43"
6 1 33 27 1.137 "<30"
6 1 91 39 1.642 "35-39"
6 1 63 35 1.474 "35-39"
6 1 103 35 1.474 "35-39"
6 1 45 32 1.347 "30-34"
6 1 78 38 1.6 "35-39"
6 1 120 43 1.811 "40-43"
6 1 36 30 1.263 "30-34"
6 1 73 38 1.6 "35-39"
6 1 134 46 1.937 ">43"
6 1 87 43 1.811 "40-43"
6 1 128 46 1.937 ">43"
6 1 113 45 1.895 ">43"
6 1 158 48 2.021 ">43"
6 1 112 44 1.853 ">43"
6 1 60 36 1.516 "35-39"
6 1 147 47 1.979 ">43"
6 1 80 39 1.642 "35-39"
6 1 74 37 1.558 "35-39"
6 1 57 33 1.389 "30-34"
6 1 85 36 1.516 "35-39"
6 1 64 40 1.684 "40-43"
6 4 146 48 2.021 ">43"
6 4 55 35 1.474 "35-39"
6 4 67 36 1.516 "35-39"
6 4 142 47 1.979 ">43"
6 4 100 41 1.726 "40-43"
6 4 117 44 1.853 ">43"
6 4 44 32 1.347 "30-34"
6 4 43 31 1.305 "30-34"
6 4 67 39 1.642 "35-39"
6 4 110 44 1.853 ">43"
6 4 83 39 1.642 "35-39"
6 4 57 36 1.516 "35-39"
6 4 56 32 1.347 "30-34"
6 4 54 31 1.305 "30-34"
6 4 99 45 1.895 ">43"
6 4 47 30 1.263 "30-34"
6 4 84 38 1.6 "35-39"
6 4 68 35 1.474 "35-39"
6 4 103 40 1.684 "40-43"
6 4 58 32 1.347 "30-34"
6 4 125 44 1.853 ">43"
6 4 95 40 1.684 "40-43"
6 4 91 41 1.726 "40-43"
6 4 100 44 1.853 ">43"
6 4 83 38 1.6 "35-39"
6 4 61 34 1.432 "30-34"
6 4 40 29 1.221 "<30"
6 4 103 40 1.684 "40-43"
6 4 68 38 1.6 "35-39"
6 4 78 38 1.6 "35-39"
6 4 54 34 1.432 "30-34"
6 4 88 42 1.768 "40-43"
6 4 115 45 1.895 ">43"
6 4 104 47 1.979 ">43"
6 4 64 38 1.6 "35-39"
6 7 98 42 1.768 "40-43"
6 7 49 31 1.305 "30-34"
6 7 75 33 1.389 "30-34"
6 7 120 42 1.768 "40-43"
6 7 126 47 1.979 ">43"
6 7 121 43 1.811 "40-43"
6 7 93 44 1.853 ">43"
6 7 118 46 1.937 ">43"
6 7 74 39 1.642 "35-39"
6 7 122 45 1.895 ">43"
6 7 93 40 1.684 "40-43"
6 7 114 44 1.853 ">43"
6 7 128 46 1.937 ">43"
6 7 101 42 1.768 "40-43"
6 7 111 44 1.853 ">43"
6 7 85 39 1.642 "35-39"
6 7 92 41 1.726 "40-43"
6 7 67 36 1.516 "35-39"
6 7 77 41 1.726 "40-43"
6 7 85 42 1.768 "40-43"
6 7 109 44 1.853 ">43"
6 7 46 32 1.347 "30-34"
6 7 88 41 1.726 "40-43"
6 7 130 47 1.979 ">43"
6 7 104 44 1.853 ">43"
6 7 91 40 1.684 "40-43"
6 7 111 43 1.811 "40-43"
6 10 86 45 1.895 ">43"
6 10 71 43 1.811 "40-43"
6 10 152 46 1.937 ">43"
6 10 137 42 1.768 "40-43"
6 10 76 41 1.726 "40-43"
6 10 120 44 1.853 ">43"
6 10 60 41 1.726 "40-43"
6 10 94 40 1.684 "40-43"
6 10 87 37 1.558 "35-39"
6 10 76 39 1.642 "35-39"
6 10 94 40 1.684 "40-43"
6 10 111 44 1.853 ">43"
6 10 90 35 1.474 "35-39"
