serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
5319192	61	13	1	1	0	0	0	1	0	0	6	1	9	1	5	1994	2	2	4	0	3	1	1	1	20	30	2900	8	3	2	0	3	7	0	3	4	2	2	4	4	5
6855019	26	21	2	2	0	0	0	0	0	1	8	5	9	1	5	1992	2	2	4	0	1	1	1	1	52	40	6000	5	3	3	0	1	4	1	1	1	1	2	2	4	7
4741778	28	13	1	1	1	0	0	0	0	0	1	1	11	1	5	1975	2	2	4	0	1	1	1	1	52	55	111000	3	1	1	0	1	3	1	1	1	1	2	3	2	2
2431234	57	21	2	1	0	1	0	0	0	0	2	2	9	2	1	0	2	2	4	0	6	1	6	1	52	30	3000	2	3	7	0	0	0	0	0	4	4	2	1	0	0
9241508	54	16	2	1	1	0	0	0	0	0	1	1	14	2	1	0	1	1	4	0	1	1	6	1	20	10	2900	2	3	1	0	0	2	0	0	4	4	2	3	3	1
4538855	26	8	1	11	1	0	0	0	0	0	1	1	11	1	5	1987	2	2	4	0	1	1	1	1	52	40	31000	2	3	1	0	0	2	0	0	4	4	2	2	3	1
1980188	59	16	1	1	0	0	0	1	0	0	6	3	9	1	4	1974	2	2	4	0	6	2	0	2	0	0	0	4	1	3	0	1	3	0	1	4	2	2	4	2	8
8511890	45	32	1	2	1	0	0	0	0	0	1	1	9	1	5	1967	1	1	4	0	1	1	6	1	52	55	251000	5	1	1	0	2	5	2	2	3	3	2	2	3	2
3201308	33	16	1	12	0	0	0	0	0	1	8	5	1	1	5	1989	2	1	4	0	1	1	1	1	48	35	16700	3	3	5	1	0	0	0	0	4	4	2	2	0	0
2642678	33	18	2	24	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	2	1	1	1	40	40	18700	2	3	3	0	1	2	1	1	2	2	2	1	2	7
8540789	21	14	1	2	0	0	0	0	0	1	8	5	9	1	1	0	2	2	1	2	4	1	5	1	52	96	12000	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8739238	64	8	2	1	1	0	0	0	0	0	1	1	9	1	1	0	2	2	4	0	6	2	0	2	0	0	410	2	2	1	1	0	2	0	0	4	4	2	3	1	4
9555189	27	15	1	1	1	0	0	0	0	0	1	5	11	2	1	0	2	2	4	0	1	1	1	1	52	50	32200	4	1	5	0	0	0	0	0	4	4	2	1	0	0
2607606	40	19	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	6	1	1	2	0	0	0	4	3	1	0	1	4	1	1	1	1	2	1	3	2
6842753	38	14	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	6	2	0	2	0	0	25000	4	2	1	0	2	4	2	2	1	1	2	1	2	2
3968593	57	18	1	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	3	0	1	1	6	1	52	60	36000	2	2	1	0	0	2	0	0	4	4	2	1	3	1
4052211	33	24	2	2	1	0	0	0	0	0	1	1	3	1	4	1990	2	1	4	0	6	2	0	2	0	0	600	6	3	1	0	4	6	4	4	3	3	2	2	2	2
3628094	21	14	1	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	1	1	4	1	5	1	45	40	9280	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4469627	29	11	1	22	1	0	0	0	0	0	1	1	13	1	4	1972	2	2	4	0	1	1	1	1	28	20	7200	3	3	1	0	1	3	1	1	2	2	2	2	2	2
7193265	43	21	1	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	2	2	1	1	1	1	52	50	65000	4	1	1	0	2	4	2	2	3	3	2	1	2	2
7826871	42	21	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	48	40	46000	4	1	1	0	2	4	2	2	2	2	2	1	4	1
7550054	50	26	2	24	1	0	0	0	0	0	1	1	12	2	1	0	2	2	4	0	1	1	1	1	52	40	13700	5	1	1	0	2	5	2	2	2	2	2	1	4	1
2826948	25	24	1	2	0	0	0	0	0	1	8	1	1	1	1	0	2	2	4	0	1	1	2	1	12	80	18000	3	1	1	0	1	3	1	1	1	1	2	2	3	1
9369991	46	21	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	2	1	16	32	10800	5	1	1	0	2	5	2	2	2	2	2	1	4	1
8257606	40	27	1	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	40	78000	4	1	1	0	2	4	2	2	3	3	2	1	2	2
9745551	44	27	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	2	2	1	1	1	1	43	50	42000	4	1	1	0	1	4	1	1	2	2	2	1	4	1
9907481	23	19	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	6	1	1	2	0	0	0	3	3	1	0	1	3	1	1	1	1	2	1	2	2
2237068	57	13	2	1	0	0	1	1	0	0	9	5	12	1	1	0	1	1	4	0	1	1	4	1	44	40	38100	1	2	6	0	0	0	0	0	4	4	2	4	0	0
2955969	55	11	1	1	0	0	0	1	0	0	6	1	6	1	4	1958	1	1	2	2	1	1	1	1	48	40	68800	2	3	1	0	0	2	0	0	4	4	2	4	3	1
8219761	31	29	2	1	0	1	0	0	0	0	2	5	6	2	1	0	1	1	4	0	1	1	1	1	52	40	17000	5	1	3	0	3	2	1	1	2	2	2	1	2	7
6589614	59	19	1	1	1	0	1	0	0	0	9	1	7	2	1	0	1	1	2	1	6	1	1	2	0	0	22800	2	1	1	0	0	2	0	0	4	4	2	1	1	4
5983386	27	29	1	2	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	40	20150	3	1	1	0	1	3	1	1	2	2	2	1	3	1
8676680	60	16	1	1	0	0	0	1	0	0	6	1	3	1	5	1996	2	2	4	0	1	1	1	1	50	60	8000	5	1	1	0	1	5	1	1	1	1	2	4	4	1
9899793	50	27	1	1	1	0	0	0	0	0	1	1	14	2	1	0	2	2	2	2	1	1	1	1	52	48	75840	3	1	1	0	1	3	1	1	1	1	2	1	2	2
1733800	55	10	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	4	1	52	40	35000	2	1	1	0	0	2	0	0	4	4	2	1	2	3
3013822	51	9	1	1	1	0	0	0	0	0	1	3	10	2	1	0	1	1	4	0	1	1	1	1	52	40	31000	4	3	2	0	0	3	0	0	4	4	2	1	4	5
6384977	41	19	1	2	1	0	0	0	0	1	9	1	13	2	1	0	2	1	4	0	6	1	1	1	52	40	22000	4	1	1	0	2	4	2	2	1	1	2	1	3	3
5032226	22	21	1	1	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	1	1	1	1	52	40	19600	6	1	1	0	1	6	0	1	4	2	2	1	4	1
4140505	46	19	1	1	0	0	0	1	0	0	6	1	11	1	4	1975	2	2	4	0	1	1	1	1	50	40	38000	4	1	1	0	1	4	1	1	2	2	2	4	3	2
8011115	23	64	2	2	0	0	0	0	0	1	8	5	11	1	1	0	1	1	4	0	1	1	3	1	48	32	8000	5	3	1	0	1	5	1	1	2	2	2	2	4	2
5301549	26	18	1	8	1	0	0	0	0	0	1	5	5	1	5	1998	2	2	4	0	1	1	1	2	0	0	0	4	3	5	0	0	0	0	0	4	4	2	2	0	0
9728543	42	16	2	11	0	0	0	0	0	1	8	5	3	1	4	1980	1	1	4	0	1	1	1	1	52	40	7000	3	3	2	0	1	2	1	1	2	2	2	2	2	5
4922390	40	29	2	2	1	0	0	0	0	0	1	1	1	1	5	1991	1	1	4	0	6	1	1	2	0	0	0	5	3	1	0	3	5	3	3	2	2	2	2	2	2
3940994	26	37	2	2	1	0	0	0	0	0	1	1	1	1	5	1992	1	1	4	0	6	2	0	2	0	0	0	8	3	1	0	3	6	2	3	3	3	2	2	3	2
4852988	29	16	2	1	1	0	0	0	0	0	1	5	10	2	1	0	2	2	4	0	1	1	1	1	52	45	23000	2	3	5	0	0	0	0	0	4	4	2	1	0	0
2707618	45	16	1	1	0	0	0	1	0	0	6	1	11	1	4	1991	2	2	4	0	1	1	1	1	40	50	15000	4	3	1	0	2	4	2	2	3	3	2	4	3	2
3915878	38	21	2	2	1	0	0	0	0	0	1	3	10	1	4	1979	2	2	4	0	1	1	1	1	48	48	39000	5	1	3	1	2	4	2	2	3	3	2	2	3	7
3375299	43	16	1	2	0	0	0	0	0	1	8	1	10	1	4	1997	2	2	4	0	1	1	1	1	48	40	19200	3	1	1	0	1	3	1	1	1	1	2	2	2	2
3669091	32	8	1	13	0	0	0	0	0	1	8	5	7	1	4	1983	2	2	4	0	1	1	1	1	50	40	16000	1	3	4	0	0	0	0	0	4	4	2	2	0	0
4968499	31	19	2	1	0	0	0	1	0	0	6	5	11	1	5	1988	2	2	4	0	1	1	1	1	52	36	27500	3	1	3	0	1	3	1	1	2	2	2	4	3	7
7115098	39	21	1	2	1	0	0	0	0	0	1	5	9	2	1	0	2	2	4	0	1	1	1	1	48	40	85000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
6187066	25	32	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	52	40	40000	2	3	1	0	0	2	0	0	4	4	2	2	3	1
709724	47	16	2	1	1	0	1	0	0	0	9	5	10	2	1	0	2	2	4	0	1	1	6	1	30	70	52040	3	1	7	0	0	0	0	0	4	4	2	1	0	0
1051675	59	54	1	3	1	1	0	1	1	0	9	5	16	2	1	0	2	1	3	0	3	2	9	2	0	0	35960	5	3	2	2	0	5	0	0	4	4	2	2	4	5
7288193	53	18	1	1	1	0	0	0	0	0	1	3	11	2	1	0	2	2	4	0	1	1	1	1	52	40	81050	3	1	2	0	1	3	0	1	4	1	2	1	3	5
2859334	46	18	1	1	1	0	0	0	0	0	1	1	12	2	4	1988	2	2	4	0	1	1	2	1	34	48	40000	5	1	3	1	1	5	0	1	4	1	2	1	4	8
1374202	57	19	1	1	1	0	0	0	0	0	1	1	9	2	1	0	1	1	3	0	6	1	4	2	0	0	0	2	3	1	0	0	2	0	0	4	4	2	1	1	4
452725	61	13	2	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	1	1	50	40	20000	2	2	1	1	0	2	0	0	4	4	2	1	2	3
2460960	57	16	1	2	0	0	0	0	0	1	8	3	8	1	1	0	2	2	4	0	1	1	1	1	52	40	13000	1	3	4	0	0	0	0	0	4	4	2	2	0	0
790342	31	15	1	7	0	0	0	0	0	1	8	5	7	1	5	1984	2	2	4	0	1	1	1	1	45	40	23800	4	3	3	0	0	3	0	0	4	4	2	2	4	7
4976126	36	21	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	2	4	0	1	1	1	1	52	40	37000	4	3	1	0	2	4	2	2	2	2	2	1	2	2
2280861	30	21	2	2	0	0	0	0	0	1	8	1	2	1	5	1991	2	2	4	0	6	2	0	2	0	0	0	5	2	1	0	3	5	3	3	3	3	2	2	2	2
6343708	29	16	1	1	1	0	0	0	0	0	1	5	8	2	1	0	2	1	4	0	1	1	1	1	50	40	22000	2	3	5	0	0	0	0	0	4	4	2	1	0	0
51633	58	24	1	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	2	2	1	1	1	1	52	40	45000	3	1	1	0	1	3	1	1	2	2	2	1	3	1
5734124	39	19	1	1	0	1	0	0	0	0	2	5	11	2	1	0	2	2	4	0	6	2	0	2	0	0	2500	4	3	3	1	2	4	0	2	4	2	2	1	1	8
