serialnop	age	pweight	sex	hispan	white	black	aian	asian	nhpi	other	race1	marstat	educ	speak	citizen	yr2us	abwork	disable	military	milyrs	esr	lastwrk	clwkr	worklyr	weeks	hours	inctot	persons	tenure	hht	p65	p18	npf	noc	nrc	paoc	parc	fnf	hhl	wif	empstat
6305497	65	21	1	2	1	0	0	0	0	0	1	1	13	1	1	0	2	2	2	2	1	1	1	1	50	33	22200	3	1	1	1	0	3	0	0	4	4	2	2	3	1
1631064	51	16	2	2	0	0	0	0	0	1	8	1	1	1	4	1977	1	1	4	0	3	1	7	1	22	40	7000	6	3	1	0	2	4	1	1	2	2	2	2	3	3
5274163	43	26	1	1	1	0	0	0	0	0	1	5	14	2	1	0	2	2	4	0	2	1	4	1	50	40	58000	1	3	4	0	0	0	0	0	4	4	2	1	0	0
9022668	36	13	1	1	1	0	0	0	0	0	1	4	12	2	1	0	2	2	4	0	2	1	1	1	44	50	80000	2	1	2	0	1	2	1	1	1	1	2	1	2	5
1222685	57	37	2	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	52	40	40000	4	2	1	0	1	4	1	1	2	2	2	3	2	1
9650359	52	15	1	1	1	0	0	0	0	0	1	1	13	2	1	0	2	2	4	0	1	1	1	1	52	55	84010	2	1	1	0	0	2	0	0	4	4	2	1	3	1
6584831	28	21	2	1	1	0	0	0	0	0	1	5	13	2	1	0	2	2	4	0	1	1	6	1	45	25	30330	1	3	6	0	0	0	0	0	4	4	2	1	0	0
5251679	48	16	2	1	0	1	0	0	0	0	2	5	8	2	5	1987	2	2	4	0	6	1	1	1	42	24	51000	2	4	7	1	0	0	0	0	4	4	2	1	0	0
6478061	37	21	1	2	0	0	0	0	0	1	8	1	9	2	5	1979	2	2	4	0	1	1	1	1	34	60	18000	4	1	1	0	2	4	2	2	2	2	2	1	3	1
6354349	63	13	1	1	1	0	0	0	0	0	1	3	13	1	5	2000	2	2	4	0	6	1	3	2	0	0	0	3	3	7	1	0	0	0	0	4	4	2	3	0	0
4699896	43	50	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	40	16200	6	1	1	0	3	5	2	2	2	2	2	1	4	1
4576442	23	13	1	2	0	0	0	1	0	1	9	5	11	1	5	1996	2	2	4	0	1	1	1	1	52	40	6900	5	1	1	0	0	5	0	0	4	4	2	2	4	1
4681775	28	15	1	1	1	0	0	0	0	0	1	5	11	2	1	0	1	1	4	0	1	1	1	1	8	40	15800	2	3	5	0	0	0	0	0	4	4	2	1	0	0
5682368	50	21	1	1	0	0	0	1	0	0	6	1	12	1	4	1987	2	2	3	0	1	1	1	1	48	40	14900	5	1	1	1	2	5	2	2	2	2	2	4	3	2
5410552	42	19	1	1	1	0	0	0	0	0	1	1	10	2	1	0	2	1	4	0	1	1	1	1	38	40	16310	6	1	1	0	3	6	3	3	2	2	2	1	4	1
2942721	39	11	1	1	1	0	0	0	0	0	1	3	15	2	1	0	2	2	4	0	2	1	6	1	50	40	48100	2	1	2	0	1	2	1	1	2	2	2	1	2	5
8247850	47	8	2	1	1	0	0	0	0	0	1	4	10	2	1	0	2	2	4	0	6	2	0	2	0	0	0	6	2	3	1	0	6	0	0	4	4	2	1	4	8
228149	42	24	1	19	0	0	0	0	0	1	8	1	11	1	5	1978	1	1	4	0	1	1	1	1	52	50	60000	4	1	1	0	1	4	1	1	2	2	2	2	4	1
4788840	32	15	1	1	1	0	0	0	0	0	1	1	8	2	1	0	2	2	4	0	1	1	1	1	52	30	30500	4	1	1	0	2	4	2	2	3	3	2	1	3	1
9165702	24	21	2	2	0	0	1	0	0	0	5	5	11	1	1	0	2	2	4	0	1	1	6	2	0	0	0	6	3	1	0	2	6	2	2	2	2	2	2	4	1
5658351	27	24	2	1	0	1	0	0	0	0	2	1	13	2	1	0	2	2	4	0	2	1	1	1	52	40	28900	5	3	1	0	3	5	3	3	3	3	2	1	2	1
9007897	47	21	1	2	0	0	0	0	0	1	8	1	1	1	5	1981	2	2	4	0	6	1	1	1	42	56	22400	4	3	1	0	0	4	0	0	4	4	2	2	4	4
2888840	63	16	1	1	1	0	0	0	0	0	1	1	16	2	1	0	2	2	4	0	1	1	2	1	52	40	60000	2	1	1	0	0	2	0	0	4	4	2	1	2	2
2206824	33	26	2	2	1	0	0	0	0	0	1	2	4	1	5	1986	2	2	4	0	6	2	0	2	0	0	4100	5	3	3	0	2	3	2	2	3	3	2	2	1	8
8766770	65	29	2	1	1	0	0	0	0	0	1	1	14	2	1	0	2	2	2	2	6	1	1	2	0	0	14600	2	2	1	2	0	2	0	0	4	4	2	1	2	4
389227	22	24	1	1	1	0	0	0	0	0	1	5	9	2	1	0	1	1	4	0	1	1	1	1	10	20	1500	1	3	4	0	0	0	0	0	4	4	2	1	0	0
8357783	23	11	2	1	0	0	0	1	0	0	6	5	13	1	5	1994	2	2	4	0	6	1	1	1	40	25	7000	3	1	1	0	0	3	0	0	4	4	2	4	4	1
8644275	50	16	2	1	0	0	0	1	0	0	6	1	9	1	5	1985	2	2	4	0	6	1	1	1	40	40	5000	4	3	1	0	0	4	0	0	4	4	2	4	4	4
5036802	37	16	1	1	0	1	0	0	0	0	2	3	9	2	1	0	2	2	3	0	3	1	1	2	0	0	2000	3	1	3	0	0	2	0	0	4	4	2	1	2	7
5809619	33	13	2	1	0	0	0	1	0	0	6	5	8	1	4	1985	1	1	4	0	6	1	1	1	40	46	12000	5	3	3	0	2	5	0	2	4	1	2	4	3	8
9160371	38	19	1	1	1	0	0	0	0	0	1	4	9	2	1	0	2	2	4	0	1	1	1	1	48	40	18700	1	3	4	0	0	0	0	0	4	4	2	1	0	0
8750552	59	21	1	2	0	0	0	0	0	1	8	1	9	1	1	0	2	2	4	0	6	1	1	1	28	28	64690	2	1	1	0	0	2	0	0	4	4	2	2	2	4
4538131	50	21	1	1	1	0	0	0	0	0	1	1	11	2	1	0	2	2	4	0	1	1	1	1	52	60	60000	3	3	1	0	1	3	1	1	2	2	2	1	3	1
7080153	55	16	2	1	1	0	0	0	0	0	1	1	9	2	1	0	2	2	4	0	1	1	1	1	52	40	43000	2	1	1	0	0	2	0	0	4	4	2	1	3	1
8870432	23	19	2	24	1	0	0	0	0	0	1	5	11	2	1	0	2	2	4	0	1	1	1	1	52	40	15000	4	1	1	0	0	4	0	0	4	4	2	2	4	1
